0	ايمان عز الدين:الجراد طلع علي المقطم وبعدين بيت د.مرسي في التجمع وبعدين حاصر قصر الرياسه   @ONtveg	1
1	@AymanNour الى المدعو أيمن نور الحرامى من معك هم الذين قالوا عليك حرامى ونصاب اليك باحرامى حسنى مبارك مازال فى مصر انت الذى رحلت فى داهيه	0
2	#بوتين ٦٥ سنه و بيغطس في بحيره متجمده و انا خايف اغسل وشي من السقعه	0
3	"#قال أيه أنهاردة 20 مليون واحد في الشوارع عشان ""مرسي"""	1
4	@EmmanuelMacron وفي كل مره يرفض إيمانويل دعوة تميم لأنه كما سبق وذكرت لا يريد الوقوع بنفس الخطأ الذي وقع فيه ساركوزي وفي نهاية المطاف قرر تميم أن يغريهم بعقد صفقة أسلحة ليس من اجل الجيش القطري وإنما من اجل الجيش الإيراني والتركي!	0
5	نقلا عن حركة التنوير الثورية : ﺿﺎﺑﻂ ﻓﻲ اﻟﺤﺮس اﻟﺠﻤﻬﻮري ﺑﻴﻘﻮل زﻳﺎرة ﻣﺮﺳﻲ ﻟﻄﻼب اﻻزﻫﺮ ﻓﻲ اﻟﻤﺴﺘﺸﻔﻲ ﻣﺘﺤﺪدة ﻣﻦ ﻳﻮﻣﻴﻦ ﻗﺒﻞ ﺗﺴﻤﻢ اﻟﻄﻼب ..	1
6	#Syria الروس أعداء للشعب السوري كما تبين من استفتاء أجرته قاعدة حميميم لكن السفالة هي تبرير النتيجة بالقول أن أغلب الشعب السوري متطرفين .. عصابة بوتين غباؤهم مستفحل	0
7	#أحييييييييييه لو بعد كل ده #أحمد_رفعت حكم براءة ... تبقى حاجة   #محاكمة_مبارك #محاكمة_القرن	0
8	"@Abdurrahmanezz ""الوطنية للتغيير"" تتهم الرئيس بالاستعانة بأشخاص محسوبين على نظام مبارك ومحاولة استرضاء ""اليمين المتطرف"" #مصر #خلافات"	0
9	معلومة هامة:كتير مننا مش عارف ان #مرسي لسه محطوط على قوائم الممنوعين من السفر	1
10	"مستثمري العاشر تؤيد ""السيسي"" لفترة ثانية..وتشكل لجانا لدعم حملة الانتخابات"	0
11	قنديل| الأقتصاد المصري ينزف لكنه صامد..والوضع العام كارثى لكنه مطمئن للغاية !! مترُصلوش بقى يا #مرسي هو كدا بقى تمام	1
12	#وين_الشورت_يا_الروضان تركي بعر لايمثل السعودية حيلكم فيه بس هذا درباري قبل سنتين يدور المربرات في تويتر ولا احد شايفه شي ، لكن الي خلى القذافي رئيس ليه مايخلي تركي بعر مسئول الرياضة	0
13	خالد عجاج رايح يغنى تسلم اﻷيادى فى فرح فى مرسى مطروح..#الاحوان جالهم هستيريا وضربوه..:-).	0
14	@Elkeber888 لا #مرسي #العياط هيكسب حاجه تانيه لوحده هيكسب دراجه هوائيه علشان هو راجل عجله فتونسه شوية..... ههههههه	1
15	دوق طعم مفهوم الإرهاب فى مصر .. شكل جديد .. بنفس الطعم الرائع ..   cpd	1
16	@TGONU نفرض بشار ايراني صفوي، ماذا عن ثوره اليمن وعدد الشهداء والمجاعه؟؟ لاأرى جمع تبرعات واسلحه #العكر	0
17	"سوريا ""تُوبخ"" أردوغان لاستخدام العنف ضد محتجين أتراك. مسخرة!! فعلآوجه ممسوح بمرق #تركيا #سوريا"	1
18	"  الثنائي المضحك : حاليّاً ""إبليس""  هرب إلى (جهنم) و ""بشّار""  هرب إلى حزب الله (لبنان) روحة بلا رجعة يا رب"	1
19	ابوي حمسني ملييوون لان اقتنع هالصيف نروح كوريا .. ادعوا كل شي يضبط وما يخرب علينا شي	0
20	من يخرج ليسب و يشتم ذرية مبارك و يقتحم البرلمان يكافأ و من يخرج و يطلب حقه في العلاج و التعليم يضرب و يهان   #bedoon	1
21	#عنان لكن، عنان ربما كان يكون أقل ضررا. وبعد أن تم القبض على عنان، اعلموا وتعلموا ان لانية لجوقة العسكر التخلي عن الحكم لأي أحد آخر خارج الجوقة الظالمة الفاسدة المجرمة التي لا تخضع لارادتها. للتاريخ، مرسي لم يفشل، بل خافوا نجاحه، فانلقبوا عليه	0
22	#ﻣﺒﺎﺭﻙ ﺟﺎﺭﻱ ﺍﻟﻘﺒﺾ ﻋﻠﻲ #ﺍﻟﺸﻌﺐ ﺑﺘﻬﻤﺔ ﺍﻟﺒﻼﻍ ﺍﻟﻜﺎﺫﺏ !!... #ﻣﺴﺨﺮﻩ #محامى_الإخوان	1
23	#القصير من رجال رأس مالهم رشاش كلاشنكوف	1
24	@abounaser_1 يقول الدخلا واللاجيين !!ويقول المملكه تستخدم الخطاب الديني بالتحريض وماذا قال القرضاوي في حق القذافي ؟	0
25	بمناسبة #الفلانتين المأذون لما بـ Writing و هو Drunk بيدخل السجن :)) #مصر #مرسي #الاخوان	1
26	مرسي لم يُهدد بالقوة تجاه التجاوزات إلا بعد أن شعر الأخوان بالخطر على مقاعدهم..!! هههههههه رئيس نابع من الأخوان ولهم #مصر #حقيقة #جهل	1
27	@Sandy_Madridsta حرباية هالاتراك كل يوم بلون .. ما تستغربي بعد فترة يحاولو يصالحو بس فشرو..بفكرو اردوغان بدو يرجع امجاد العثمانيين..	1
28	"اصطدام قطار بـ""تاكسى"" أمام مزلقان أرض اللواء لالالا انتوا اكيد بتهزروا مخبين الكامرا فين يا بتوع الكاميرا المستخبيه ؟؟ #مرسي #نهضة"	1
29	@gaberalkarmoty انتا مولع الدنيا ليه يا قرمط؟ معلش احنا بنتكلم . #بيس_يا_مان #شفيق_يا_راجل #مصر #الاخوان #مرسي #الدستور #البرادعي	1
30	- عندنا فى المحلة كان في بحر  ردمنا البحر وحفرنا نفق 😅 ، والنفق بقى بيجيب مياه 😅 😅 - عندنا فى المحلة كان فى موقف نقلنا الموقف بره البلد وبنينا كوبري فوق الموقف القديم عشان الزحمة 😅 - عندنا فى المحلة عملنا ثورة ضد مبارك وعملنا ثورة بعدها نأيد السيسى 😎	1
31	بعد أن قادوا حملة تشويه ضده ، وأشتبكوا مع انصاره في مؤتمراته .الإخوان تفاوض عمرو موسى ليصبح وزير خارجية في عهد مرسي- الأخوان دول	1
32	#واشنطن كالفرق بين كلب بوتين وكلب ترامب كلهم #كلاب	0
33	#روسيا ترفض اتهام #ترامب بانتهاكها عقوبات #كوريا_الشمالية	0
34	«طرابلس كولاية عثمانية»: حرب أردوغان السرية في ليبيا:	0
35	سما المصري : ياولية يا اللي شبه القلة ( موزة بتاعة قطر ) .. هطرقعلك انا علي الامبولة	1
36	#مداد_نيوز|| استكمالاً لمحاولة التدخل في الشأن الليبي، قطر تحاول قتل سيف الإسلام القذافي لهذه الأسباب. #ليبيا #نظام_الحمدين #قطر #سيف_الإسلام_القذافي #تميم_يدعم_الإرهاب #قطر_تدعم_الإرهاب	0
37	"قناة الحافظ جايبالك رجال بدقون ""شيوخ"" شغلتهم بس يسبو بخلق الله و إلي بقهرك أنو شعار القناة القرآن و السنة #احا #مصر #مرسي"	1
38	"#حكايه_وطن قال لرئيس الروسي فلاديمير بوتين في كلمة لرؤساء دول الاتحاد ""الأوراسي""، الذي يضم الدول الواقعة بشمال روسيا، أن المحادثات الجارية بشأن إقامة مناطق تجارة حرة مع مصر وإسرائيل والهند وإيران وصربيا وسنغافورة ""مثمرة"" وفقاً لوكالة الأنباء الروسية تاس"	0
39	ابويا عايزني اوديله فلوس على حساب ٣٠٦٣٠٦ قولتلو لأ،قاللي ليه؟قولتله ما بدعمش حكومات انقلابات عسكرية D:   #مصر #مرسي #السيسي	1
40	#30يونيو ..!! السؤال بقي: يا ترى هو هينزل رافع علم #مصر زينا ولا علم الجماعة..!!	1
41	#الارهابية جميعكم الى الجحيم	0
42	مرسي أثناء إستقبالة لاعيبة منتخب الشباب قال لكهرباء: إنت جاى تكهرب الدنيا قولتلُه لا أصلي كنت بسمع إن النور هنا قاطع فجيت أنورهولك :)	1
43	جيش سوريا و مصر و لبنان لم يطلق رصاصة على إسرائيل منذ ولادتي لهذا العالم ، و فقط رأيته يقتل أبناء وطنه بالله كيف أحترمهم و هم	0
